1,Province/State,Country/Region,Lat,Long,Confirmed
2,Anhui,Mainland China,31.82571,117.2264,591
3,Beijing,Mainland China,40.18238,116.4142,274
4,Chongqing,Mainland China,30.05718,107.874,400
5,Fujian,Mainland China,26.07783,117.9895,215
6,Gansu,Mainland China,36.0611,103.8343,62
7,Guangdong,Mainland China,23.33841,113.422,970
8,Guangxi,Mainland China,23.82908,108.7881,168
9,Guizhou,Mainland China,26.81536,106.8748,71
10,Hainan,Mainland China,19.19673,109.7455,106
11,Hebei,Mainland China,38.0428,114.5149,157
12,Heilongjiang,Mainland China,47.862,127.7622,227
13,Henan,Mainland China,33.88202,113.614,851
14,Hubei,Mainland China,30.97564,112.2707,19665
15,Hunan,Mainland China,27.61041,111.7088,711
16,Inner Mongolia,Mainland China,44.09448,113.9456,46
17,Jiangsu,Mainland China,32.97027,119.464,373
18,Jiangxi,Mainland China,27.61401,115.7221,600
19,Jilin,Mainland China,43.66657,126.1917,59
20,Liaoning,Mainland China,41.29284,122.6086,94
21,Ningxia,Mainland China,37.26923,106.1655,40
22,Qinghai,Mainland China,35.65945,96.02564,18
23,Shaanxi,Mainland China,35.19165,108.8701,173
24,Shandong,Mainland China,36.34377,118.1529,347
25,Shanghai,Mainland China,31.20327,121.4554,257
26,Shanxi,Mainland China,37.57769,112.2922,90
27,Sichuan,Mainland China,30.61714,102.7103,321
28,Tianjin,Mainland China,39.29362,117.333,78
29,Tibet,Mainland China,30.1534,88.7879,1
30,Xinjiang,Mainland China,41.11981,85.17822,36
31,Yunnan,Mainland China,24.97411,101.4868,133
32,Zhejiang,Mainland China,29.18251,120.0985,954
33,,Thailand,13.7563,100.5018,25
34,,Japan,35.6762,139.6503,45
35,,South Korea,37.5665,126.978,23
36,Taiwan,Taiwan,23.6978,120.9605,16
37,Washington,US,47.7511,-120.74,1
38,Illinois,US,40.6331,-89.3985,2
39,California,US,36.7783,-119.418,6
40,Arizona,US,34.0489,-111.094,1
41,Macau,Macau,22.1987,113.5439,10
42,Hong Kong,Hong Kong,22.3193,114.1694,24
43,,Singapore,1.3521,103.8198,28
44,,Vietnam,21.0278,105.8342,10
45,,France,46.2276,2.2137,6
46,,Nepal,28.3949,84.124,1
47,,Malaysia,4.2105,101.9758,12
48,Ontario,Canada,43.6532,-79.3832,3
49,British Columbia,Canada,49.2827,-123.121,2
50,New South Wales,Australia,-33.8688,151.2093,4
51,Victoria,Australia,-37.8136,144.9631,4
52,Queensland,Australia,-27.4698,153.0251,4
53,,Cambodia,12.5657,104.991,1
54,,Sri Lanka,7.8731,80.7718,1
55,,Germany,51.1657,10.4515,12
56,,Finland,61.9241,25.7482,1
57,,United Arab Emirates,23.4241,53.8478,5
58,,Philippines,12.8797,121.774,2
59,,India,20.5937,78.9629,3
60,,Italy,41.8719,12.5674,2
61,,UK,55.3781,-3.436,2
62,,Russia,61.524,105.3188,2
63,,Sweden,60.1282,18.6435,1
64,,Spain,40.4637,-3.7492,1
65,South Australia,Australia,-34.9285,138.6007,2
66,"Boston, MA",US,42.3601,-71.0589,1
67,,Belgium,50.5039,4.4699,1
68,"Madison, WI",US,43.0731,-89.4012,1